outcome,trait,dataset,est,se,mod,Data,name,est_abs
poleff,Agreeableness,anes12,-0.07119139334425924,0.050413019872567355,student,ANES 2012,Efficacy,0.07119139334425924
involvement,Neuroticism,anes12,0.01096871054289652,0.0506423534080905,student,ANES 2012,Involvement,0.01096871054289652
polpar,Openness,anes12,0.0737163426273489,0.07377517438860194,student,ANES 2012,Participation,0.0737163426273489
media,Conscientiousness,anes12,0.026884113919923975,0.0499514482221786,student,ANES 2012,Media use,0.026884113919923975
poltr,Extraversion,anes12,0.075456914693453,0.07803325355753779,student,ANES 2012,Political trust,0.075456914693453
knowledge,Agreeableness,anes12,-0.05168794499757928,0.04982004080736818,student,ANES 2012,Knowledge,0.05168794499757928
ideology,Neuroticism,anes12,-0.09634988214646112,0.05376550908269248,student,ANES 2012,Left-right ideology,0.09634988214646112
stfdem,Openness,anes12,-0.06312820882952203,0.05020333189465066,student,ANES 2012,Sat. democracy,0.06312820882952203
polintr,Conscientiousness,anes12,-0.056996476827650126,0.05000229311733531,student,ANES 2012,Interest,0.056996476827650126
poleff,Extraversion,anes12,0.06077278493566525,0.04986585234606694,student,ANES 2012,Efficacy,0.06077278493566525
involvement,Agreeableness,anes12,-0.00900783948055291,0.049925049123925834,student,ANES 2012,Involvement,0.00900783948055291
polpar,Neuroticism,anes12,0.0819462082012202,0.07406320861659593,student,ANES 2012,Participation,0.0819462082012202
media,Openness,anes12,0.04424479146949127,0.04936202623969364,student,ANES 2012,Media use,0.04424479146949127
poltr,Conscientiousness,anes12,0.1575691023318419,0.07731952465219064,student,ANES 2012,Political trust,0.1575691023318419
knowledge,Extraversion,anes12,-0.08301742608972267,0.049716283418177076,student,ANES 2012,Knowledge,0.08301742608972267
ideology,Agreeableness,anes12,-0.02224795848613894,0.05321780370875392,student,ANES 2012,Left-right ideology,0.02224795848613894
stfdem,Neuroticism,anes12,0.032678043326474865,0.05107138682625621,student,ANES 2012,Sat. democracy,0.032678043326474865
polintr,Openness,anes12,-0.032684338752412605,0.04905971034876012,student,ANES 2012,Interest,0.032684338752412605
poleff,Conscientiousness,anes12,0.033946311522866444,0.05080608078510244,student,ANES 2012,Efficacy,0.033946311522866444
involvement,Extraversion,anes12,-0.020956277344008546,0.04961800280732985,student,ANES 2012,Involvement,0.020956277344008546
polpar,Agreeableness,anes12,0.1070794943714997,0.07358120822763727,student,ANES 2012,Participation,0.1070794943714997
media,Neuroticism,anes12,0.051769472201285915,0.050206792691234355,student,ANES 2012,Media use,0.051769472201285915
poltr,Openness,anes12,-0.0824578045760022,0.07241955006952028,student,ANES 2012,Political trust,0.0824578045760022
knowledge,Conscientiousness,anes12,-0.14760407646040752,0.04991054766471364,student,ANES 2012,Knowledge,0.14760407646040752
ideology,Extraversion,anes12,0.024281246407849615,0.05225127397202356,student,ANES 2012,Left-right ideology,0.024281246407849615
stfdem,Agreeableness,anes12,-0.027703790586951053,0.05033629859811453,student,ANES 2012,Sat. democracy,0.027703790586951053
polintr,Neuroticism,anes12,0.08745066855876454,0.049986554642067985,student,ANES 2012,Interest,0.08745066855876454
poleff,Openness,anes12,0.051160408276997034,0.049989349286690035,student,ANES 2012,Efficacy,0.051160408276997034
involvement,Conscientiousness,anes12,0.02375640260645572,0.050538861213342626,student,ANES 2012,Involvement,0.02375640260645572
polpar,Extraversion,anes12,-0.026447383425731892,0.07519475122738585,student,ANES 2012,Participation,0.026447383425731892
media,Agreeableness,anes12,-0.0818491992654838,0.04948734132969393,student,ANES 2012,Media use,0.0818491992654838
poltr,Neuroticism,anes12,-0.15576049503269954,0.07547870329888727,student,ANES 2012,Political trust,0.15576049503269954
knowledge,Openness,anes12,-0.1504172305643474,0.049528707152989966,student,ANES 2012,Knowledge,0.1504172305643474
ideology,Conscientiousness,anes12,0.06691316912244835,0.053292725441253616,student,ANES 2012,Left-right ideology,0.06691316912244835
stfdem,Extraversion,anes12,0.03622819238455415,0.0498941844508322,student,ANES 2012,Sat. democracy,0.03622819238455415
polintr,Agreeableness,anes12,-0.09924574443667522,0.049722956961420706,student,ANES 2012,Interest,0.09924574443667522
poleff,Neuroticism,anes12,0.07829951613877974,0.051027249329818745,student,ANES 2012,Efficacy,0.07829951613877974
involvement,Openness,anes12,0.001729919297318977,0.049203929989732886,student,ANES 2012,Involvement,0.001729919297318977
polpar,Conscientiousness,anes12,0.13755468315097807,0.0749481792290865,student,ANES 2012,Participation,0.13755468315097807
media,Extraversion,anes12,0.056868173867361614,0.049284593862329966,student,ANES 2012,Media use,0.056868173867361614
poltr,Agreeableness,anes12,0.01401471544814444,0.07252795150794156,student,ANES 2012,Political trust,0.01401471544814444
knowledge,Neuroticism,anes12,0.08090077653631396,0.05011633215818947,student,ANES 2012,Knowledge,0.08090077653631396
ideology,Openness,anes16,NA,NA,student,ANES 2016,Left-right ideology,NA
stfdem,Conscientiousness,anes16,NA,NA,student,ANES 2016,Sat. democracy,NA
polintr,Extraversion,anes16,NA,NA,student,ANES 2016,Interest,NA
poleff,Agreeableness,anes16,NA,NA,student,ANES 2016,Efficacy,NA
involvement,Neuroticism,anes16,NA,NA,student,ANES 2016,Involvement,NA
polpar,Openness,anes16,NA,NA,student,ANES 2016,Participation,NA
media,Conscientiousness,anes16,NA,NA,student,ANES 2016,Media use,NA
poltr,Extraversion,anes16,NA,NA,student,ANES 2016,Political trust,NA
knowledge,Agreeableness,anes16,NA,NA,student,ANES 2016,Knowledge,NA
ideology,Neuroticism,anes16,NA,NA,student,ANES 2016,Left-right ideology,NA
stfdem,Openness,anes16,NA,NA,student,ANES 2016,Sat. democracy,NA
polintr,Conscientiousness,anes16,NA,NA,student,ANES 2016,Interest,NA
poleff,Extraversion,anes16,NA,NA,student,ANES 2016,Efficacy,NA
involvement,Agreeableness,anes16,NA,NA,student,ANES 2016,Involvement,NA
polpar,Neuroticism,anes16,NA,NA,student,ANES 2016,Participation,NA
media,Openness,anes16,NA,NA,student,ANES 2016,Media use,NA
poltr,Conscientiousness,anes16,NA,NA,student,ANES 2016,Political trust,NA
knowledge,Extraversion,anes16,NA,NA,student,ANES 2016,Knowledge,NA
ideology,Agreeableness,anes16,NA,NA,student,ANES 2016,Left-right ideology,NA
stfdem,Neuroticism,anes16,NA,NA,student,ANES 2016,Sat. democracy,NA
polintr,Openness,anes16,NA,NA,student,ANES 2016,Interest,NA
poleff,Conscientiousness,anes16,NA,NA,student,ANES 2016,Efficacy,NA
involvement,Extraversion,anes16,NA,NA,student,ANES 2016,Involvement,NA
polpar,Agreeableness,anes16,NA,NA,student,ANES 2016,Participation,NA
media,Neuroticism,anes16,NA,NA,student,ANES 2016,Media use,NA
poltr,Openness,anes16,NA,NA,student,ANES 2016,Political trust,NA
knowledge,Conscientiousness,anes16,NA,NA,student,ANES 2016,Knowledge,NA
ideology,Extraversion,anes16,NA,NA,student,ANES 2016,Left-right ideology,NA
stfdem,Agreeableness,anes16,NA,NA,student,ANES 2016,Sat. democracy,NA
polintr,Neuroticism,anes16,NA,NA,student,ANES 2016,Interest,NA
poleff,Openness,anes16,NA,NA,student,ANES 2016,Efficacy,NA
involvement,Conscientiousness,anes16,NA,NA,student,ANES 2016,Involvement,NA
polpar,Extraversion,anes16,NA,NA,student,ANES 2016,Participation,NA
media,Agreeableness,anes16,NA,NA,student,ANES 2016,Media use,NA
poltr,Neuroticism,anes16,NA,NA,student,ANES 2016,Political trust,NA
knowledge,Openness,anes16,NA,NA,student,ANES 2016,Knowledge,NA
ideology,Conscientiousness,anes16,NA,NA,student,ANES 2016,Left-right ideology,NA
stfdem,Extraversion,anes16,NA,NA,student,ANES 2016,Sat. democracy,NA
polintr,Agreeableness,anes16,NA,NA,student,ANES 2016,Interest,NA
poleff,Neuroticism,anes16,NA,NA,student,ANES 2016,Efficacy,NA
involvement,Openness,anes16,NA,NA,student,ANES 2016,Involvement,NA
polpar,Conscientiousness,anes16,NA,NA,student,ANES 2016,Participation,NA
media,Extraversion,anes16,NA,NA,student,ANES 2016,Media use,NA
poltr,Agreeableness,anes16,NA,NA,student,ANES 2016,Political trust,NA
knowledge,Neuroticism,anes16,NA,NA,student,ANES 2016,Knowledge,NA
ideology,Openness,bes,0.08150912022737718,0.043163418969268993,student,BES,Left-right ideology,0.08150912022737718
stfdem,Conscientiousness,bes,0.049857391584005845,0.03642061979587305,student,BES,Sat. democracy,0.049857391584005845
polintr,Extraversion,bes,-0.0085041248972981,0.03452204801712384,student,BES,Interest,0.0085041248972981
poleff,Agreeableness,bes,-0.047977099702000106,0.036921245063137965,student,BES,Efficacy,0.047977099702000106
involvement,Neuroticism,bes,0.09528819014430426,0.04337909996177989,student,BES,Involvement,0.09528819014430426
polpar,Openness,bes,-0.008518918161167158,0.03445735839513669,student,BES,Participation,0.008518918161167158
media,Conscientiousness,bes,0.042067180229998766,0.03551080300777805,student,BES,Media use,0.042067180229998766
poltr,Extraversion,bes,-0.011854167838096313,0.0740583003319327,student,BES,Political trust,0.011854167838096313
knowledge,Agreeableness,bes,-0.007845623447079475,0.0325962910546193,student,BES,Knowledge,0.007845623447079475
ideology,Neuroticism,bes,-0.061027465992310015,0.0401338968125211,student,BES,Left-right ideology,0.061027465992310015
stfdem,Openness,bes,0.04100505993136775,0.04184331321106693,student,BES,Sat. democracy,0.04100505993136775
polintr,Conscientiousness,bes,-0.004651463451024357,0.033242243774456545,student,BES,Interest,0.004651463451024357
poleff,Extraversion,bes,-0.008251489323682951,0.03497731613590887,student,BES,Efficacy,0.008251489323682951
involvement,Agreeableness,bes,-0.1489805932996835,0.045587163145878594,student,BES,Involvement,0.1489805932996835
polpar,Neuroticism,bes,0.05063497757068572,0.03179274590869486,student,BES,Participation,0.05063497757068572
media,Openness,bes,-0.05615406491129474,0.04085165024202045,student,BES,Media use,0.05615406491129474
poltr,Conscientiousness,bes,0.07563940896585443,0.0653630625220124,student,BES,Political trust,0.07563940896585443
knowledge,Extraversion,bes,-0.016229683143132025,0.03432837456274746,student,BES,Knowledge,0.016229683143132025
ideology,Agreeableness,bes,0.05039412059950135,0.04151096531651351,student,BES,Left-right ideology,0.05039412059950135
stfdem,Neuroticism,bes,3.3230379780250455e-4,0.039321705365849696,student,BES,Sat. democracy,3.3230379780250455e-4
polintr,Openness,bes,-0.014855214353372026,0.03823468639883726,student,BES,Interest,0.014855214353372026
poleff,Conscientiousness,bes,0.03910777109247151,0.03388527931998227,student,BES,Efficacy,0.03910777109247151
involvement,Extraversion,bes,-0.08234787777099628,0.04330689383176331,student,BES,Involvement,0.08234787777099628
polpar,Agreeableness,bes,-0.012598733106882304,0.03363816219806571,student,BES,Participation,0.012598733106882304
media,Neuroticism,bes,-0.00910139037222493,0.03870047628455503,student,BES,Media use,0.00910139037222493
poltr,Openness,bes,-0.10572793194193143,0.08058953599227939,student,BES,Political trust,0.10572793194193143
knowledge,Conscientiousness,bes,-0.08706657211327934,0.03185941655462156,student,BES,Knowledge,0.08706657211327934
ideology,Extraversion,bes,0.08195047931000302,0.03829274725273821,student,BES,Left-right ideology,0.08195047931000302
stfdem,Agreeableness,bes,-0.02488500326757274,0.040928980374376644,student,BES,Sat. democracy,0.02488500326757274
polintr,Neuroticism,bes,0.03138138907729779,0.03557623428628983,student,BES,Interest,0.03138138907729779
poleff,Openness,bes,-0.0846969323557441,0.03862371546823726,student,BES,Efficacy,0.0846969323557441
involvement,Conscientiousness,bes,-0.06656409949936933,0.0410093440409478,student,BES,Involvement,0.06656409949936933
polpar,Extraversion,bes,-0.004263184330987209,0.03184091729233331,student,BES,Participation,0.004263184330987209
media,Agreeableness,bes,-0.06679921053325565,0.0404829161176233,student,BES,Media use,0.06679921053325565
poltr,Neuroticism,bes,-0.06870061524050348,0.07379881958567294,student,BES,Political trust,0.06870061524050348
knowledge,Openness,bes,-0.025798023987924763,0.035454514993588586,student,BES,Knowledge,0.025798023987924763
ideology,Conscientiousness,bes,-0.07079520631993198,0.03695067094104187,student,BES,Left-right ideology,0.07079520631993198
stfdem,Extraversion,bes,-0.0026553651066489933,0.037785697151505496,student,BES,Sat. democracy,0.0026553651066489933
polintr,Agreeableness,bes,-0.04754348260672759,0.03740353422973266,student,BES,Interest,0.04754348260672759
poleff,Neuroticism,bes,-0.0691895867951655,0.034957878865358005,student,BES,Efficacy,0.0691895867951655
involvement,Openness,bes,-0.10398840927005866,0.04614815675728321,student,BES,Involvement,0.10398840927005866
polpar,Conscientiousness,bes,0.02111841805827811,0.030128757920973578,student,BES,Participation,0.02111841805827811
media,Extraversion,bes,-0.05307127799152853,0.03719220537108813,student,BES,Media use,0.05307127799152853
poltr,Agreeableness,bes,-0.05236853052965518,0.07150409545647703,student,BES,Political trust,0.05236853052965518
knowledge,Neuroticism,bes,0.023614879727215134,0.03424825010560575,student,BES,Knowledge,0.023614879727215134
ideology,Openness,liss,-0.009751358857175128,0.05494654652233986,student,LISS,Left-right ideology,0.009751358857175128
stfdem,Conscientiousness,liss,0.012566204843438438,0.045730140542449435,student,LISS,Sat. democracy,0.012566204843438438
polintr,Extraversion,liss,-0.04422267782242151,0.043869941778817374,student,LISS,Interest,0.04422267782242151
poleff,Agreeableness,liss,0.01955832643773412,0.04727303556197323,student,LISS,Efficacy,0.01955832643773412
involvement,Neuroticism,liss,0.014965129098021593,0.046210659541740876,student,LISS,Involvement,0.014965129098021593
polpar,Openness,liss,0.19676260097783393,0.06840462564040997,student,LISS,Participation,0.19676260097783393
media,Conscientiousness,liss,0.0486404384041581,0.04406430812938769,student,LISS,Media use,0.0486404384041581
poltr,Extraversion,liss,-0.10946664450481938,0.04561636766464993,student,LISS,Political trust,0.10946664450481938
knowledge,Agreeableness,liss,NA,NA,student,LISS,Knowledge,NA
ideology,Neuroticism,liss,-0.04976748670430733,0.051637553942223136,student,LISS,Left-right ideology,0.04976748670430733
stfdem,Openness,liss,0.04192505231185741,0.04997723548175804,student,LISS,Sat. democracy,0.04192505231185741
polintr,Conscientiousness,liss,-0.002979125428758542,0.043830949883627825,student,LISS,Interest,0.002979125428758542
poleff,Extraversion,liss,-0.1022301818854444,0.0438618238574018,student,LISS,Efficacy,0.1022301818854444
involvement,Agreeableness,liss,-0.025560889444833902,0.047332210273529164,student,LISS,Involvement,0.025560889444833902
polpar,Neuroticism,liss,-0.04626715150123674,0.06671310274726766,student,LISS,Participation,0.04626715150123674
media,Openness,liss,0.07454206450380409,0.047643359140207835,student,LISS,Media use,0.07454206450380409
poltr,Conscientiousness,liss,-0.02213171276614278,0.0452994214015951,student,LISS,Political trust,0.02213171276614278
knowledge,Extraversion,liss,NA,NA,student,LISS,Knowledge,NA
ideology,Agreeableness,liss,-0.10829715990431592,0.05274779814686379,student,LISS,Left-right ideology,0.10829715990431592
stfdem,Neuroticism,liss,0.03915946326418101,0.04788721967441118,student,LISS,Sat. democracy,0.03915946326418101
polintr,Openness,liss,0.10377928567106239,0.04606378910186917,student,LISS,Interest,0.10377928567106239
poleff,Conscientiousness,liss,-0.005090722992820971,0.04400370333170444,student,LISS,Efficacy,0.005090722992820971
involvement,Extraversion,liss,-0.021170445865459016,0.04404254409908941,student,LISS,Involvement,0.021170445865459016
polpar,Agreeableness,liss,0.0425211005946405,0.0709926233743657,student,LISS,Participation,0.0425211005946405
media,Neuroticism,liss,-0.08791476393539643,0.04597881268545927,student,LISS,Media use,0.08791476393539643
poltr,Openness,liss,0.053947482078621385,0.050096211231111895,student,LISS,Political trust,0.053947482078621385
knowledge,Conscientiousness,liss,NA,NA,student,LISS,Knowledge,NA
ideology,Extraversion,liss,7.642273914296858e-4,0.04858784795392564,student,LISS,Left-right ideology,7.642273914296858e-4
stfdem,Agreeableness,liss,-0.014615611484977675,0.049129667658928504,student,LISS,Sat. democracy,0.014615611484977675
polintr,Neuroticism,liss,0.01599347417202421,0.04582711054611235,student,LISS,Interest,0.01599347417202421
poleff,Openness,liss,-0.045837564189358714,0.045211200129979534,student,LISS,Efficacy,0.045837564189358714
involvement,Conscientiousness,liss,-0.015005432848040916,0.04407760818698264,student,LISS,Involvement,0.015005432848040916
polpar,Extraversion,liss,-0.053997452320517975,0.06438147409475714,student,LISS,Participation,0.053997452320517975
media,Agreeableness,liss,0.11129072900426033,0.04736591997623615,student,LISS,Media use,0.11129072900426033
poltr,Neuroticism,liss,0.10259788862362224,0.04712217668821036,student,LISS,Political trust,0.10259788862362224
knowledge,Openness,liss,NA,NA,student,LISS,Knowledge,NA
ideology,Conscientiousness,liss,-0.10023505514540328,0.04822139674421624,student,LISS,Left-right ideology,0.10023505514540328
stfdem,Extraversion,liss,-0.029734566089506517,0.045591165203146634,student,LISS,Sat. democracy,0.029734566089506517
polintr,Agreeableness,liss,0.0679938557645944,0.047125938447842776,student,LISS,Interest,0.0679938557645944
poleff,Neuroticism,liss,0.06670518635408738,0.04568903748150495,student,LISS,Efficacy,0.06670518635408738
involvement,Openness,liss,-0.12801228831675043,0.04726157325874753,student,LISS,Involvement,0.12801228831675043
polpar,Conscientiousness,liss,0.05038827531061484,0.0587709057455672,student,LISS,Participation,0.05038827531061484
media,Extraversion,liss,0.061484006108754534,0.04426461882258809,student,LISS,Media use,0.061484006108754534
poltr,Agreeableness,liss,-0.037837894110139714,0.04873317192731603,student,LISS,Political trust,0.037837894110139714
knowledge,Neuroticism,liss,NA,NA,student,LISS,Knowledge,NA
ideology,Openness,shp,-0.017784401853559652,0.038914757351007356,student,SHP,Left-right ideology,0.017784401853559652
stfdem,Conscientiousness,shp,0.02043319768657165,0.03928927453971057,student,SHP,Sat. democracy,0.02043319768657165
polintr,Extraversion,shp,-0.005908464456450942,0.041737265351479653,student,SHP,Interest,0.005908464456450942
poleff,Agreeableness,shp,NA,NA,student,SHP,Efficacy,NA
involvement,Neuroticism,shp,NA,NA,student,SHP,Involvement,NA
polpar,Openness,shp,-0.036763225095835295,0.04751211516432193,student,SHP,Participation,0.036763225095835295
media,Conscientiousness,shp,NA,NA,student,SHP,Media use,NA
poltr,Extraversion,shp,0.04645410917730465,0.04238198414872116,student,SHP,Political trust,0.04645410917730465
knowledge,Agreeableness,shp,NA,NA,student,SHP,Knowledge,NA
ideology,Neuroticism,shp,-0.03425518628025661,0.043181737737395365,student,SHP,Left-right ideology,0.03425518628025661
stfdem,Openness,shp,-0.04434614930791647,0.03800573382683418,student,SHP,Sat. democracy,0.04434614930791647
polintr,Conscientiousness,shp,0.012198616764561583,0.03864368900061276,student,SHP,Interest,0.012198616764561583
poleff,Extraversion,shp,NA,NA,student,SHP,Efficacy,NA
involvement,Agreeableness,shp,NA,NA,student,SHP,Involvement,NA
polpar,Neuroticism,shp,-0.007882326627162286,0.05174860652259715,student,SHP,Participation,0.007882326627162286
media,Openness,shp,NA,NA,student,SHP,Media use,NA
poltr,Conscientiousness,shp,0.07122067797131301,0.03923647682058635,student,SHP,Political trust,0.07122067797131301
knowledge,Extraversion,shp,NA,NA,student,SHP,Knowledge,NA
ideology,Agreeableness,shp,0.004454491184058707,0.04399124338798163,student,SHP,Left-right ideology,0.004454491184058707
stfdem,Neuroticism,shp,-0.0014214246487135075,0.04201165180349029,student,SHP,Sat. democracy,0.0014214246487135075
polintr,Openness,shp,-0.14243875006707524,0.03709804636816691,student,SHP,Interest,0.14243875006707524
poleff,Conscientiousness,shp,NA,NA,student,SHP,Efficacy,NA
involvement,Extraversion,shp,NA,NA,student,SHP,Involvement,NA
polpar,Agreeableness,shp,-0.02435758334254509,0.05237955221612698,student,SHP,Participation,0.02435758334254509
media,Neuroticism,shp,NA,NA,student,SHP,Media use,NA
poltr,Openness,shp,0.001309550582642229,0.03821952620781883,student,SHP,Political trust,0.001309550582642229
knowledge,Conscientiousness,shp,NA,NA,student,SHP,Knowledge,NA
ideology,Extraversion,shp,-0.021027433996890842,0.04402798451259988,student,SHP,Left-right ideology,0.021027433996890842
stfdem,Agreeableness,shp,0.015228848505608477,0.04197032396924705,student,SHP,Sat. democracy,0.015228848505608477
polintr,Neuroticism,shp,0.016392407074838543,0.04151485737401637,student,SHP,Interest,0.016392407074838543
poleff,Openness,shp,NA,NA,student,SHP,Efficacy,NA
involvement,Conscientiousness,shp,NA,NA,student,SHP,Involvement,NA
polpar,Extraversion,shp,0.007026824991426509,0.050711806859747306,student,SHP,Participation,0.007026824991426509
media,Agreeableness,shp,NA,NA,student,SHP,Media use,NA
poltr,Neuroticism,shp,0.002013435618958162,0.042116063880986154,student,SHP,Political trust,0.002013435618958162
knowledge,Openness,shp,NA,NA,student,SHP,Knowledge,NA
ideology,Conscientiousness,shp,-0.004511697644265353,0.04075188720100041,student,SHP,Left-right ideology,0.004511697644265353
stfdem,Extraversion,shp,0.04377480706409028,0.04222098270056045,student,SHP,Sat. democracy,0.04377480706409028
polintr,Agreeableness,shp,-0.06348641681050878,0.041319972296614736,student,SHP,Interest,0.06348641681050878
poleff,Neuroticism,shp,NA,NA,student,SHP,Efficacy,NA
involvement,Openness,shp,NA,NA,student,SHP,Involvement,NA
polpar,Conscientiousness,shp,0.04270192741023574,0.047361491275008445,student,SHP,Participation,0.04270192741023574
media,Extraversion,shp,NA,NA,student,SHP,Media use,NA
poltr,Agreeableness,shp,0.06364658014545663,0.041858335697833704,student,SHP,Political trust,0.06364658014545663
knowledge,Neuroticism,shp,NA,NA,student,SHP,Knowledge,NA
ideology,Openness,lapop,0.014901782425511316,0.023561315017403033,student,LAPOP,Left-right ideology,0.014901782425511316
stfdem,Conscientiousness,lapop,-0.048429871300099826,0.019072414155675572,student,LAPOP,Sat. democracy,0.048429871300099826
polintr,Extraversion,lapop,-0.05323703885260044,0.019529201591246423,student,LAPOP,Interest,0.05323703885260044
poleff,Agreeableness,lapop,0.043004975737315175,0.019954827300538828,student,LAPOP,Efficacy,0.043004975737315175
involvement,Neuroticism,lapop,-0.027381472906148813,0.02061147950067793,student,LAPOP,Involvement,0.027381472906148813
polpar,Openness,lapop,-0.027101369575620444,0.020273177327759902,student,LAPOP,Participation,0.027101369575620444
media,Conscientiousness,lapop,-0.02634657875290781,0.018902984233195655,student,LAPOP,Media use,0.02634657875290781
poltr,Extraversion,lapop,0.02442100921735081,0.019324661039663193,student,LAPOP,Political trust,0.02442100921735081
knowledge,Agreeableness,lapop,-0.01164989003078257,0.01997583847975596,student,LAPOP,Knowledge,0.01164989003078257
ideology,Neuroticism,lapop,0.014215885085288451,0.02256595991033172,student,LAPOP,Left-right ideology,0.014215885085288451
stfdem,Openness,lapop,-0.023813394683451936,0.02047667184647617,student,LAPOP,Sat. democracy,0.023813394683451936
polintr,Conscientiousness,lapop,-0.026300353089654255,0.0188407050487539,student,LAPOP,Interest,0.026300353089654255
poleff,Extraversion,lapop,-0.03389963923846779,0.020226546788639995,student,LAPOP,Efficacy,0.03389963923846779
involvement,Agreeableness,lapop,0.02741448566261142,0.020633966775392535,student,LAPOP,Involvement,0.02741448566261142
polpar,Neuroticism,lapop,0.07276727434917545,0.01922380291211299,student,LAPOP,Participation,0.07276727434917545
media,Openness,lapop,-0.005126200083477463,0.02030134767815167,student,LAPOP,Media use,0.005126200083477463
poltr,Conscientiousness,lapop,0.018141488881134312,0.01861548976613709,student,LAPOP,Political trust,0.018141488881134312
knowledge,Extraversion,lapop,-0.0375334073982395,0.020055578847501723,student,LAPOP,Knowledge,0.0375334073982395
ideology,Agreeableness,lapop,-0.027048865978182693,0.02258721552005908,student,LAPOP,Left-right ideology,0.027048865978182693
stfdem,Neuroticism,lapop,0.008816714159118468,0.019582522221312237,student,LAPOP,Sat. democracy,0.008816714159118468
polintr,Openness,lapop,-0.05030919676271976,0.02023137237166034,student,LAPOP,Interest,0.05030919676271976
poleff,Conscientiousness,lapop,0.043085633052679206,0.019383589225875155,student,LAPOP,Efficacy,0.043085633052679206
